FoodId,OtherId
1,1
1,2
2,1
3,1
3,2
4,1
4,2
5,1
5,2
6,2
7,1
7,2
8,1
9,1
10,1
11,1
12,1
13,1
13,2
14,1
14,2
15,1
15,2
17,1
19,2
20,1
20,2
21,1
21,2
22,1
23,1
23,2
24,1
25,1
25,2
26,1
27,1
28,1
30,2
31,2
32,2
33,1
33,2
34,2
35,1
36,2
37,1
38,2
39,1
40,1
41,1
41,2
42,1
42,2
43,1
43,2
44,2
45,1
46,1
47,1
47,2
48,1
49,2
50,2
51,1
53,1
54,1
55,1
57,1
58,1
59,2
60,2
61,1
62,1
63,2
64,1
66,1
67,1
67,2
68,1
71,1
72,1
73,1
74,1
75,1
76,2
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
87,1
88,2
89,1
90,1
91,1
91,2
92,1
93,1
93,2
94,2
95,2
96,1
96,2
98,1
99,1
100,1
101,1
102,2
103,2
104,1
105,2
106,2
107,1
113,1
114,1
115,1
116,2
117,1
118,2
119,1
120,1
120,2
121,2
122,1
123,1
124,1
125,1
125,2
126,2
127,2
128,1
128,2
131,1
131,2
132,2
133,2
134,2
135,1
136,2
137,2
138,1
140,1
141,2
142,1
144,1
145,1
146,1
149,1
