FoodId,ServingTimeId
3,1
3,2
4,1
4,2
5,1
5,2
6,3
6,4
7,3
7,4
8,3
8,4
11,3
11,4
13,3
13,4
14,1
14,2
15,1
20,3
20,4
21,4
29,3
29,4
30,1
30,2
31,1
31,2
32,1
32,2
34,2
34,3
35,3
36,3
36,4
37,3
37,4
38,4
39,4
50,4
52,3
52,4
53,1
53,2
54,1
54,2
56,4
57,4
59,4
70,3
70,4
71,4
72,4
76,4
86,3
86,4
88,4
89,4
90,1
90,2
91,1
91,2
93,3
105,3
105,4
106,3
106,4
107,3
107,4
108,3
108,4
121,4
122,1
122,2
123,1
123,2
124,1
124,2
127,4
129,3
129,4
132,3
132,4
133,4
134,4
135,4
139,4
140,4
141,4
142,4
143,3
143,4
145,3
145,4
147,3
147,4
148,3
148,4
149,3
149,4
150,3
150,4
