Id,NameEN,NameES
1,Base Game,Juego Básico
2,Digital Deluxe Base Game,Juego Básico Digital Deluxe
3,City Living,Urbanitas
4,Seasons,Y Las Cuatro Estaciones
5,Island Living,Vida Isleña
6,Eco Lifestyle,Vida Ecológica
7,Snowy Escape,Escapada en la Nieve
8,Cottage Living,Vida en el Pueblo
9,High School Years,Años High School
10,Outdoor Retreat,De Acampada
11,Spa Day,Día de Spa
12,Dine Out,Escapada Gourmet
13,Vampires,Vampiros
14,Jungle Adventure,Aventura en la Selva
15,Werewolves,Licántropos
16,Spooky Stuff,Escalofriante
