Id,FoodId,SizeId,Price
1,1,1,6
2,1,3,25
3,2,3,25
4,3,1,4
5,3,2,10
6,3,3,13
7,4,1,4
8,4,2,10
9,4,3,13
10,5,1,4
11,5,2,10
12,5,3,13
13,6,3,15
14,7,1,3
15,7,2,9
16,7,3,12
17,8,1,3
18,8,2,10
19,8,3,13
20,9,3,15
21,10,3,15
22,11,1,4
23,11,2,11
24,11,3,14
25,12,3,15
26,13,1,15
27,13,2,48
28,13,3,60
29,14,1,4
30,14,2,9
31,14,3,11
32,15,1,11
33,15,2,26
34,15,3,42
35,16,1,0
36,17,3,25
37,18,3,0
38,19,3,0
39,20,1,4
40,20,2,9
41,20,3,16
42,21,1,6
43,21,2,12
44,21,3,25
45,22,3,3
46,23,3,3
47,24,1,6
48,24,2,12
49,24,3,15
50,25,1,6
51,25,2,12
52,25,3,15
53,26,3,10
54,27,1,7
55,27,2,25
56,27,3,32
57,28,1,6
58,28,2,16
59,28,3,24
60,29,1,4
61,29,2,12
62,29,3,16
63,30,1,6
64,30,2,15
65,30,3,19
66,31,1,6
67,31,2,15
68,31,3,19
69,32,1,6
70,32,2,15
71,32,3,19
72,33,1,5
73,33,2,14
74,33,3,19
75,34,1,4
76,34,2,12
77,34,3,16
78,35,1,4
79,35,2,12
80,35,3,16
81,36,1,5
82,36,2,14
83,36,3,18
84,37,1,5
85,37,2,14
86,37,3,18
87,38,1,8
88,38,2,23
89,38,3,30
90,39,1,8
91,39,2,23
92,39,3,30
93,40,3,22
94,41,1,16
95,42,1,16
96,43,1,16
97,44,1,16
98,45,3,40
99,46,3,18
100,47,1,6
101,47,2,17
102,47,3,22
103,48,1,6
104,48,2,24
105,48,3,30
106,49,1,6
107,49,2,24
108,49,3,30
109,50,1,10
110,50,2,24
111,50,3,32
112,51,1,18
113,51,2,48
114,51,3,62
115,52,1,16
116,53,1,5
117,53,2,15
118,53,3,20
119,54,1,7
120,54,2,20
121,54,3,28
122,55,3,23
123,56,3,43
124,57,3,43
125,58,3,21
126,59,1,6
127,59,2,17
128,59,3,22
129,60,3,20
130,61,3,12
131,62,3,23
132,63,1,0
133,63,2,0
134,63,3,0
135,64,1,10
136,64,2,10
137,64,3,10
138,65,1,10
139,65,2,10
140,65,3,10
141,66,1,15
142,66,2,23
143,66,3,50
144,67,3,45
145,68,3,25
146,69,1,6
147,69,2,17
148,69,3,22
149,70,1,7
150,70,2,14
151,70,3,22
152,71,1,6
153,71,2,19
154,71,3,25
155,72,1,10
156,72,2,28
157,72,3,36
158,73,3,24
159,74,3,22
160,75,3,20
161,76,1,6
162,76,2,16
163,76,3,21
164,77,1,2
165,77,2,11
166,77,3,15
167,78,3,45
168,79,1,7
169,79,2,21
170,79,3,28
171,80,1,7
172,81,1,7
173,81,2,21
174,81,3,28
175,82,1,7
176,82,2,21
177,82,3,28
178,83,1,7
179,83,2,21
180,83,3,28
181,84,1,7
182,84,2,21
183,84,3,28
184,85,1,7
185,85,2,21
186,85,3,28
187,86,1,6
188,86,2,19
189,86,3,35
190,87,3,22
191,88,1,8
192,88,2,24
193,88,3,31
194,89,1,7
195,89,2,20
196,89,3,26
197,90,3,32
198,91,1,8
199,91,2,26
200,91,3,34
201,92,3,25
202,93,1,7
203,93,2,20
204,93,3,29
205,94,1,16
206,94,2,34
207,94,3,38
208,95,1,18
209,95,2,32
210,95,3,40
211,96,1,12
212,96,2,28
213,96,3,42
214,97,1,0
215,97,2,0
216,97,3,0
217,98,3,20
218,99,3,20
219,100,3,20
220,101,3,45
221,102,1,25
222,102,2,33
223,102,3,47
224,103,1,12
225,103,2,26
226,103,3,33
227,104,3,25
228,105,3,34
229,106,1,10
230,106,2,28
231,106,3,36
232,107,1,10
233,107,2,28
234,107,3,36
235,108,1,9
236,108,2,27
237,108,3,34
238,109,1,6
239,109,2,14
240,109,3,18
241,110,1,7
242,110,2,22
243,110,3,25
244,111,1,7
245,111,2,22
246,111,3,25
247,112,1,9
248,112,2,17
249,112,3,35
250,113,1,4
251,113,2,15
252,113,3,20
253,114,1,4
254,114,2,15
255,114,3,20
256,115,1,6
257,115,2,19
258,115,3,25
259,116,3,45
260,117,3,45
261,118,3,18
262,119,3,18
263,120,1,8
264,120,2,23
265,120,3,34
266,121,1,10
267,121,2,34
268,121,3,40
269,122,1,10
270,122,2,29
271,122,3,39
272,123,1,10
273,123,2,29
274,123,3,39
275,124,1,10
276,124,2,29
277,124,3,39
278,125,3,37
279,126,3,41
280,127,1,10
281,127,2,34
282,127,3,40
283,128,3,45
284,129,1,9
285,129,2,14
286,129,3,23
287,130,1,10
288,130,2,32
289,130,3,38
290,131,3,45
291,132,3,47
292,133,3,50
293,134,1,14
294,134,2,41
295,134,3,55
296,135,1,14
297,135,2,41
298,135,3,55
299,136,3,56
300,137,1,13
301,137,2,38
302,137,3,50
303,138,1,13
304,138,2,38
305,138,3,50
306,139,1,16
307,139,2,46
308,139,3,60
309,140,1,16
310,140,2,46
311,140,3,60
312,141,3,63
313,142,1,16
314,142,3,63
315,143,1,3
316,143,2,6
317,143,3,12
318,144,1,4
319,144,2,6
320,144,3,12
321,145,1,4
322,146,1,6
323,146,2,8
324,146,3,10
325,147,1,5
326,147,2,12
327,147,3,16
328,148,1,5
329,148,2,10
330,148,3,15
331,149,1,5
332,149,2,10
333,149,3,15
334,150,1,5
